secondsLeft,scoreDifference,yardsToEndzone,yOffsetAtSnap,motionSinceLineset,shiftSinceLineset,offenseFormation,receiverAlignment
1014,-18,79,0.3409090909090909,1,0,0,7
133,0,92,0.4945454545454556,0,0,0,7
1835,-17,75,0.5754545454545453,1,0,0,8
2972,7,42,0.79181818181818,1,0,1,3
2519,0,53,0.2309090909090876,1,0,5,4
2368,0,66,0.09272727272727108,1,1,5,4
1513,11,64,0.490909090909094,0,1,5,4
3271,0,31,0.5681818181818286,1,1,4,4
2737,-3,29,0.2090909090909153,1,1,5,6
1920,0,56,0.45090909090909165,1,0,4,6
3017,0,92,0.4509090909090839,0,1,5,6
3592,0,66,0.23636363636363844,1,1,4,4
1648,0,23,0.3481818181818219,1,1,4,6
1341,-2,49,0.47090909090908634,1,1,5,6
230,-15,13,0.4509090909090942,1,1,4,6
1407,4,53,0.44909090909091404,1,1,3,3
773,10,91,0.1345454545454872,0,0,5,4
733,13,31,0.02545454545454556,0,1,0,7
133,-7,29,0.2981818181818157,0,0,5,6
2901,0,19,0.11909090909090413,0,0,4,4
3399,0,31,0.12181818181818471,1,1,5,4
219,-11,40,0.002727272727270247,1,0,4,4
1677,7,89,0.3727272727272851,0,1,0,7
269,15,90,0.34272727272728143,0,0,4,4
2694,-4,83,0.5054545454545508,1,0,5,4
852,0,54,0.20090909090908388,0,0,4,6
2483,-7,20,0.6954545454545538,1,1,4,4
3413,7,72,0.29999999999999843,0,0,5,6
1980,14,81,0.2072727272727248,0,0,4,4
843,-6,77,0.043636363636364,0,1,5,4
1761,-3,65,0.29181818181818514,0,1,4,4
3480,0,56,0.7200000000000066,0,0,1,3
3313,0,71,1.0472727272727256,1,1,4,4
2665,3,52,1.0309090909090886,0,1,5,4
2576,0,75,0.03363636363636276,1,1,5,4
398,21,62,0.040909090909095044,0,0,4,4
3600,0,75,0.10181818181818224,1,1,4,4
3542,0,72,0.28454545454545416,0,0,5,4
606,0,37,0.3609090909090831,1,0,5,4
1282,17,23,0.2545454545454401,1,0,4,4
1444,-11,62,0.5509090909090886,1,0,0,7
2045,-10,92,0.16000000000000048,1,1,1,3
2764,-11,78,0.886363636363626,1,1,4,6
3596,0,78,0.27999999999999986,1,0,5,6
588,-4,86,0.20545454545454592,0,1,5,4
174,-1,53,0.03363636363636922,1,0,4,6
769,4,75,0.21181818181818166,1,0,4,4
1723,4,58,0.5209090909090822,0,1,5,6
3013,-7,42,0.07000000000000094,1,0,5,4
1825,-11,78,0.03090909090909122,1,0,4,6
140,-18,12,0.09545454545454585,1,1,5,4
2821,-3,78,0.056363636363636775,0,0,0,7
1865,13,80,0.5763636363636354,0,0,0,7
1830,-7,40,0.019090909090909814,0,0,4,4
2124,5,75,0.1109090909090908,0,1,4,4
176,0,42,0.3899999999999967,1,0,5,6
3194,0,17,0.13909090909089628,1,0,4,4
159,4,30,0.35272727272727233,0,1,5,6
1856,-28,73,0.5836363636363703,0,0,4,6
3369,0,53,0.28999999999999465,1,1,5,4
1204,0,62,0.00818181818181074,0,0,4,6
1242,-7,43,0.5009090909090901,1,1,4,3
1756,-4,27,0.16363636363636982,1,1,4,4
1082,-3,29,0.819090909090907,0,1,5,6
2247,-4,62,0.33909090909090556,1,1,5,6
900,-24,56,0.45090909090908904,0,0,4,4
286,7,66,0.9800000000000001,1,1,4,6
3510,0,75,0.6509090909090919,1,1,4,3
1053,8,77,0.6209090909090843,0,1,4,6
2044,7,18,0.13909090909090985,1,0,3,4
3166,-3,77,0.529090909090893,1,0,5,6
2424,14,20,0.030909090909073133,1,0,4,4
1856,-4,37,0.5645454545454579,1,1,4,6
1331,16,54,0.06454545454545269,0,1,5,3
2247,-4,10,0.34272727272727105,1,0,4,4
1074,4,39,0.5454545454545506,1,1,1,3
1509,3,82,0.20909090909090947,0,1,1,3
2222,0,70,0.5,1,1,3,3
1558,3,53,0.22636363636364235,1,0,5,4
1821,-11,49,0.7063636363636451,1,0,0,7
2854,14,19,0.15363636363636377,0,1,5,4
218,-9,45,0.2136363636363657,1,0,4,4
2900,14,75,0.026363636363636287,1,1,4,3
1900,10,75,0.5845454545454707,0,0,4,6
3289,-3,56,0.012727272727271487,1,0,4,4
3594,0,90,0.2881818181818248,1,1,4,3
1800,-9,75,0.1418181818181872,1,0,5,6
1425,-13,18,0.2290909090908971,0,0,5,4
944,18,37,0.41636363636363233,1,0,4,6
595,15,12,0.2727272727272734,0,0,5,3
572,-12,11,0.07999999999999959,0,0,5,4
3149,0,34,0.43818181818181756,1,0,4,4
1230,4,19,0.04000000000000108,0,1,4,4
3152,-7,72,0.24181818181818926,1,1,1,3
1150,1,34,0.4690909090909114,1,0,4,4
3417,-7,83,0.32272727272727214,1,0,4,6
2872,-3,31,0.30818181818181695,1,1,1,3
1317,0,80,0.4372727272727223,1,1,4,4
1258,0,74,0.7563636363636409,1,1,1,3
2469,-10,45,0.11636363636364422,1,1,4,6
3595,0,78,0.5672727272727282,1,1,4,6
900,0,10,0.2563636363636512,1,1,5,6
858,-2,30,0.7581818181818211,0,0,4,6
1793,-6,73,1.3545454545454525,1,0,4,4
2043,-13,82,0.8763636363636377,1,1,1,3
2025,11,10,0.7045454545454338,0,1,1,3
1900,3,61,1.04181818181818,1,1,4,3
2881,3,59,0.11363636363636363,1,1,5,4
2161,0,83,0.21909090909091652,1,0,4,4
3270,-7,60,0.4981818181818147,1,0,4,4
